word,pos_tf,bdc,pos_tf_bdc
副驾驶,4.76,0.29,1.4
电式,2.86,0.49,1.4
同,16.19,0.09,1.39
却是,4.76,0.29,1.39
开到,4.76,0.29,1.39
换车,16.19,0.09,1.39
导航,10.47,0.13,1.39
晕车,2.86,0.48,1.38
月牙形,2.86,0.48,1.38
引人注目,2.86,0.48,1.38
一般般,2.86,0.48,1.38
压抑,2.86,0.48,1.38
兴奋,2.86,0.48,1.38
想必,2.86,0.48,1.38
相结合,2.86,0.48,1.38
未,4.76,0.29,1.38
妥协,2.86,0.48,1.38
停止,2.86,0.48,1.38
缩小,2.86,0.48,1.38
算法,2.86,0.48,1.38
刷新,2.86,0.48,1.38
史,2.86,0.48,1.38
七夕,2.86,0.48,1.38
卖出,2.86,0.48,1.38
流线,2.86,0.48,1.38
良心,2.86,0.48,1.38
坑坑洼洼,2.86,0.48,1.38
据悉,2.86,0.48,1.38
举,2.86,0.48,1.38
精力,2.86,0.48,1.38
角色,2.86,0.48,1.38
角落,2.86,0.48,1.38
驾驶舱,2.86,0.48,1.38
机器人,2.86,0.48,1.38
红灯,2.86,0.48,1.38
隔栅,2.86,0.48,1.38
赶快,2.86,0.48,1.38
风采,2.86,0.48,1.38
定车,2.86,0.48,1.38
到手,2.86,0.48,1.38
大幅度,2.86,0.48,1.38
打孔,2.86,0.48,1.38
从没,2.86,0.48,1.38
驰骋,2.86,0.48,1.38
成型,2.86,0.48,1.38
沉闷,2.86,0.48,1.38
车比,2.86,0.48,1.38
不下,2.86,0.48,1.38
标致大道,2.86,0.48,1.38
奔跑,2.86,0.48,1.38
暴力,2.86,0.48,1.38
同价位,8.57,0.16,1.37
较为,15.24,0.09,1.37
不是,85.7,0.02,1.37
逐步,5.71,0.24,1.36
上下班,13.33,0.1,1.36
强烈,9.52,0.14,1.36
满载,8.57,0.16,1.36
路面,11.43,0.12,1.36
金属,8.57,0.16,1.36
国产,42.85,0.03,1.36
排量,27.61,0.05,1.35
接受,10.47,0.13,1.35
消耗,3.81,0.35,1.34
实车,9.52,0.14,1.34
年轻化,9.52,0.14,1.34
没用,2.86,0.47,1.34
概念车,13.33,0.1,1.34
哒,3.81,0.35,1.34
脚,6.67,0.2,1.33
记录仪,2.86,0.46,1.32
多功能,23.8,0.06,1.32
自己,107.6,0.01,1.31
喇叭,7.62,0.17,1.31
版本,13.33,0.1,1.31
站,2.86,0.45,1.3
舒适型,2.86,0.45,1.3
蓝色,2.86,0.45,1.3
决定,25.71,0.05,1.3
减,4.76,0.27,1.3
焊接,12.38,0.1,1.3
还好,8.57,0.15,1.3
高度,14.28,0.09,1.3
聪明,4.76,0.27,1.3
出去玩,4.76,0.27,1.3
安全气囊,8.57,0.15,1.3
物品,5.71,0.23,1.29
手动挡,11.43,0.11,1.29
气囊,2.86,0.45,1.29
过弯,4.76,0.27,1.29
扶手,7.62,0.17,1.29
颠簸,7.62,0.17,1.29
常年,5.71,0.23,1.29
做,78.08,0.02,1.28
只能,14.28,0.09,1.28
已经,101.89,0.01,1.28
后座,8.57,0.15,1.28
当时,59.99,0.02,1.28
受到,9.52,0.13,1.27
前后,17.14,0.07,1.27
方式,17.14,0.07,1.27
质保,4.76,0.27,1.26
再有,4.76,0.26,1.26
移动,10.47,0.12,1.26
途中,4.76,0.26,1.26
添,4.76,0.26,1.26
胜出,4.76,0.26,1.26
坡道,4.76,0.26,1.26
还有,89.51,0.01,1.26
购买,20.95,0.06,1.26
电子,27.61,0.05,1.26
地面,4.76,0.26,1.26
越,24.76,0.05,1.25
续航,2.86,0.44,1.25
算,22.85,0.05,1.25
理由,14.28,0.09,1.25
走向,2.86,0.44,1.24
字样,2.86,0.44,1.24
转变,2.86,0.44,1.24
硬,16.19,0.08,1.24
液晶屏,2.86,0.44,1.24
雪地,2.86,0.44,1.24
我会,2.86,0.44,1.24
特有,2.86,0.44,1.24
融为一体,2.86,0.44,1.24
清单,2.86,0.44,1.24
倾力,2.86,0.44,1.24
亲子,2.86,0.44,1.24
强化,2.86,0.44,1.24
欧美,2.86,0.44,1.24
难题,2.86,0.44,1.24
迷,2.86,0.44,1.24
轮,2.86,0.44,1.24
领航,2.86,0.44,1.24
理性,2.86,0.44,1.24
老百姓,2.86,0.44,1.24
可想而知,2.86,0.44,1.24
就让,2.86,0.44,1.24
旧款,2.86,0.44,1.24
静态,2.86,0.44,1.24
较好,2.86,0.44,1.24
很快,9.52,0.13,1.24
功夫,2.86,0.44,1.24
个人观点,2.86,0.44,1.24
奋斗,2.86,0.44,1.24
非常明显,2.86,0.44,1.24
范围,11.43,0.11,1.24
而言,18.09,0.07,1.24
订金,2.86,0.43,1.24
奠定,2.86,0.44,1.24
底子,2.86,0.44,1.24
大于,2.86,0.44,1.24
创意,2.86,0.44,1.24
初衷,2.86,0.44,1.24
超市,2.86,0.44,1.24
抄,2.86,0.44,1.24
插孔,2.86,0.44,1.24
不行,1.9,0.65,1.24
飙升,2.86,0.44,1.24
标志性,2.86,0.44,1.24
状况,5.71,0.21,1.23
这么,39.04,0.03,1.23
命名,2.86,0.43,1.23
梦想,2.86,0.43,1.23
均匀,5.71,0.21,1.23
极其,5.71,0.21,1.23
定位,26.66,0.05,1.23
比较满意,5.71,0.21,1.23
神,2.86,0.43,1.22
仔细,2.86,0.42,1.21
携手,2.86,0.42,1.21
库存,2.86,0.42,1.21
火,2.86,0.42,1.21
规划,2.86,0.42,1.21
怎么,26.66,0.04,1.2
下来,21.9,0.05,1.2
玩,6.67,0.18,1.2
听说,3.81,0.32,1.2
好感,6.67,0.18,1.2
当,19.04,0.06,1.2
座车,1.9,0.62,1.19
尊享,1.9,0.62,1.19
最酷,1.9,0.62,1.19
总长度,1.9,0.62,1.19
总长,1.9,0.62,1.19
字体,1.9,0.62,1.19
卓,1.9,0.62,1.19
撞击力,1.9,0.62,1.19
庄重,1.9,0.62,1.19
转弯半径,1.9,0.62,1.19
转身,1.9,0.62,1.19
转化,1.9,0.62,1.19
中年人,1.9,0.62,1.19
中级轿车,1.9,0.62,1.19
指正,1.9,0.62,1.19
纸质,1.9,0.62,1.19
正宗,1.9,0.62,1.19
臻,1.9,0.62,1.19
真是太,1.9,0.62,1.19
找不出,1.9,0.62,1.19
展翅飞翔,1.9,0.62,1.19
宅,1.9,0.62,1.19
赞誉,1.9,0.62,1.19
再好,1.9,0.62,1.19
再创,1.9,0.62,1.19
运转,1.9,0.62,1.19
运气,1.9,0.62,1.19
愿景,1.9,0.62,1.19
圆环,1.9,0.62,1.19
雨量,1.9,0.62,1.19
宇宙,1.9,0.62,1.19
有利于,1.9,0.62,1.19
有点儿,1.9,0.62,1.19
由内而外,1.9,0.62,1.19
悠久,1.9,0.62,1.19
用途,1.9,0.62,1.19
永磁,1.9,0.62,1.19
映射,1.9,0.62,1.19
赢家,1.9,0.62,1.19
印证,1.9,0.62,1.19
隐藏式,1.9,0.62,1.19
异色,1.9,0.62,1.19
椅背,1.9,0.62,1.19
宜家,1.9,0.62,1.19
宜,1.9,0.62,1.19
一丝不苟,1.9,0.62,1.19
一代人,1.9,0.62,1.19
一大早,1.9,0.62,1.19
养眼,1.9,0.62,1.19
阳刚,1.9,0.62,1.19
炫动,1.9,0.62,1.19
选去,1.9,0.62,1.19
新鲜,1.9,0.62,1.19
新锐,1.9,0.62,1.19
协助,1.9,0.62,1.19
小智,1.9,0.62,1.19
小巧玲珑,1.9,0.62,1.19
小亮,1.9,0.62,1.19
小伙,1.9,0.62,1.19
小号,1.9,0.62,1.19
销辆,1.9,0.62,1.19
消,1.9,0.62,1.19
响亮,1.9,0.62,1.19
享有,1.9,0.62,1.19
厢房,1.9,0.62,1.19
现今,1.9,0.62,1.19
鲜肉,1.9,0.62,1.19
下单,1.9,0.62,1.19
狭窄,1.9,0.62,1.19
物美价廉,1.9,0.62,1.19
无聊,1.9,0.62,1.19
稳妥,1.9,0.62,1.19
稳步,1.9,0.62,1.19
温控,1.9,0.62,1.19
往返,1.9,0.62,1.19
王牌,1.9,0.62,1.19
完整性,1.9,0.62,1.19
外形尺寸,1.9,0.62,1.19
外景,1.9,0.62,1.19
外加,1.9,0.62,1.19
挖掘,1.9,0.62,1.19
脱困,1.9,0.62,1.19
蜕变,1.9,0.62,1.19
挑不出,1.9,0.62,1.19
填,1.9,0.62,1.19
体格,1.9,0.62,1.19
特制,1.9,0.62,1.19
淘宝,1.9,0.62,1.19
太帅,1.9,0.62,1.19
太棒了,1.9,0.62,1.19
随行,1.9,0.62,1.19
算下来,1.9,0.62,1.19
四平八稳,1.9,0.62,1.19
四代,1.9,0.62,1.19
死忠,1.9,0.62,1.19
说不上,1.9,0.62,1.19
双重,1.9,0.62,1.19
双拼,1.9,0.62,1.19
收官,1.9,0.62,1.19
生产工艺,1.9,0.62,1.19
身怀绝技,1.9,0.62,1.19
申请,1.9,0.62,1.19
稍带,1.9,0.62,1.19
筛选,1.9,0.62,1.19
杀手锏,1.9,0.62,1.19
三强,1.9,0.62,1.19
赛季,1.9,0.62,1.19
软性,1.9,0.62,1.19
如此一来,1.9,0.62,1.19
日新月异,1.9,0.62,1.19
人性,1.9,0.62,1.19
趋于,1.9,0.62,1.19
情人,1.9,0.62,1.19
情理之中,1.9,0.62,1.19
青海湖,1.9,0.62,1.19
亲睐,1.9,0.62,1.19
前瞻性,1.9,0.62,1.19
前移,1.9,0.62,1.19
气缸,1.9,0.62,1.19
起伏,1.9,0.62,1.19
其一,1.9,0.62,1.19
其前,1.9,0.62,1.19
扑面而来,1.9,0.62,1.19
破百,1.9,0.62,1.19
平平淡淡,1.9,0.62,1.19
喷水,1.9,0.62,1.19
爬山,1.9,0.62,1.19
能耗,1.9,0.62,1.19
能干,1.9,0.62,1.19
莫过于,1.9,0.62,1.19
秒钟,1.9,0.62,1.19
闷声,1.9,0.62,1.19
妹夫,1.9,0.62,1.19
美美,1.9,0.62,1.19
每位,1.9,0.62,1.19
没得,1.9,0.62,1.19
迈出,1.9,0.62,1.19
马牌,1.9,0.62,1.19
马丁脸,1.9,0.62,1.19
绿衫,1.9,0.62,1.19
落,1.9,0.62,1.19
聆听,1.9,0.62,1.19
凌特,1.9,0.62,1.19
灵敏度,1.9,0.62,1.19
两不误,1.9,0.62,1.19
链子,1.9,0.62,1.19
历代,1.9,0.62,1.19
老牌子,1.9,0.62,1.19
老话,1.9,0.62,1.19
牢牢,1.9,0.62,1.19
蓝天白云,1.9,0.62,1.19
拉丁,1.9,0.62,1.19
可折叠,1.9,0.62,1.19
可见一斑,1.9,0.62,1.19
看样子,1.9,0.62,1.19
看家,1.9,0.62,1.19
开关门,1.9,0.62,1.19
爵士,1.9,0.62,1.19
绝佳,1.9,0.62,1.19
精益求精,1.9,0.62,1.19
精雕细琢,1.9,0.62,1.19
惊爆,1.9,0.62,1.19
近来,1.9,0.62,1.19
近处,1.9,0.62,1.19
紧跟,1.9,0.62,1.19
接地,1.9,0.62,1.19
焦点,1.9,0.62,1.19
降温,1.9,0.62,1.19
寄托,1.9,0.62,1.19
技术含量,1.9,0.62,1.19
嫉妒,1.9,0.62,1.19
极好,1.9,0.62,1.19
及其,1.9,0.62,1.19
激发,1.9,0.62,1.19
火速,1.9,0.62,1.19
活跃,1.9,0.62,1.19
会议,1.9,0.62,1.19
焕然一新,1.9,0.62,1.19
换气,1.9,0.62,1.19
欢迎,2.86,0.42,1.19
弧度,1.9,0.62,1.19
呼声,1.9,0.62,1.19
横,1.9,0.62,1.19
黑白,1.9,0.62,1.19
核心部件,1.9,0.62,1.19
过时,1.9,0.62,1.19
过分,1.9,0.62,1.19
光盘,1.9,0.62,1.19
冠,1.9,0.62,1.19
拐弯,1.9,0.62,1.19
刮目相看,1.9,0.62,1.19
功底,1.9,0.62,1.19
给力,1.9,0.62,1.19
革命性,1.9,0.62,1.19
感性,1.9,0.62,1.19
盖板,1.9,0.62,1.19
锋芒,1.9,0.62,1.19
风雨,1.9,0.62,1.19
风生水,1.9,0.62,1.19
奋进,1.9,0.62,1.19
分体,1.9,0.62,1.19
分割,1.9,0.62,1.19
分布,1.9,0.62,1.19
非常适合,1.9,0.62,1.19
芳心,1.9,0.62,1.19
法国人,1.9,0.62,1.19
发帖,1.9,0.62,1.19
发明,1.9,0.62,1.19
恩施,1.9,0.62,1.19
多样化,1.9,0.62,1.19
锻造,1.9,0.62,1.19
读取,1.9,0.62,1.19
独具一格,1.9,0.62,1.19
动心,1.9,0.62,1.19
电音,1.9,0.62,1.19
电容,1.9,0.62,1.19
电力,1.9,0.62,1.19
低价位,1.9,0.62,1.19
当家花旦,1.9,0.62,1.19
淡季,1.9,0.62,1.19
单身,1.9,0.62,1.19
大名鼎鼎,1.9,0.62,1.19
大关,1.9,0.62,1.19
大床,1.9,0.62,1.19
大标,1.9,0.62,1.19
打下,1.9,0.62,1.19
打磨,1.9,0.62,1.19
粗壮,1.9,0.62,1.19
出远门,1.9,0.62,1.19
出于,1.9,0.62,1.19
城区,1.9,0.62,1.19
成分,1.9,0.62,1.19
沉重,1.9,0.62,1.19
车坛,1.9,0.62,1.19
车键,1.9,0.62,1.19
朝阳,1.9,0.62,1.19
超前,1.9,0.62,1.19
场馆,1.9,0.62,1.19
差速,1.9,0.62,1.19
刹车踏板,1.9,0.62,1.19
踩下,1.9,0.62,1.19
并排,1.9,0.62,1.19
兵哥,1.9,0.62,1.19
别致,1.9,0.62,1.19
笔记本电脑,1.9,0.62,1.19
比赛,2.86,0.42,1.19
本色,1.9,0.62,1.19
背门,1.9,0.62,1.19
背版,1.9,0.62,1.19
北方,1.9,0.62,1.19
爆表,1.9,0.62,1.19
保证车辆,1.9,0.62,1.19
保护膜,1.9,0.62,1.19
伴侣,1.9,0.62,1.19
搬,1.9,0.62,1.19
把握,1.9,0.62,1.19
把控,1.9,0.62,1.19
跋山涉水,1.9,0.62,1.19
按锁,1.9,0.62,1.19
按摩,1.9,0.62,1.19
安全可靠,1.9,0.62,1.19
矮,1.9,0.62,1.19
ACE,1.9,0.62,1.19
自信,7.62,0.15,1.18
转弯,7.62,0.15,1.18
信心,9.52,0.12,1.18
终于,16.19,0.07,1.17
哦,10.47,0.11,1.17
放弃,3.81,0.31,1.17
别的,12.38,0.09,1.17
自行,2.86,0.4,1.16
致力于,2.86,0.4,1.16
震撼,2.86,0.4,1.16
缘分,2.86,0.4,1.16
预热,2.86,0.4,1.16
油电,2.86,0.4,1.16
银,2.86,0.4,1.16
音响效果,2.86,0.4,1.16
翼,2.86,0.4,1.16
一旦,2.86,0.4,1.16
夜视,2.86,0.4,1.16
相连,2.86,0.4,1.16
限量,2.86,0.4,1.16
说起,2.86,0.4,1.16
双层,2.86,0.4,1.16
售出,2.86,0.4,1.16
市面上,2.86,0.4,1.16
生意,2.86,0.4,1.16
深厚,2.86,0.4,1.16
山路,6.67,0.17,1.16
沙发,2.86,0.4,1.16
全自动,2.86,0.4,1.16
倾向,2.86,0.4,1.16
前沿,2.86,0.4,1.16
那天,2.86,0.4,1.16
摩托车,2.86,0.41,1.16
面世,2.86,0.4,1.16
美好,2.86,0.4,1.16
借助,2.86,0.4,1.16
讲解,2.86,0.4,1.16
加强,2.86,0.4,1.16
嗨,2.86,0.4,1.16
和谐,6.67,0.17,1.16
高科技,6.67,0.17,1.16
高低,2.86,0.4,1.16
蜂窝状,2.86,0.4,1.16
粉,2.86,0.4,1.16
等到,2.86,0.4,1.16
大学,2.86,0.4,1.16
大大,2.86,0.4,1.16
保养,20,0.06,1.16
现场,15.24,0.08,1.15
奢华,9.52,0.12,1.15
曝光,5.71,0.2,1.15
看上,7.62,0.15,1.15
放心,13.33,0.09,1.15
但,161.87,0.01,1.15
畅销,7.62,0.15,1.15
异常,1.9,0.6,1.14
数,2.86,0.4,1.14
师傅,2.86,0.4,1.14
取代,2.86,0.4,1.14
路边,2.86,0.4,1.14
竟然,3.81,0.3,1.14
怀疑,3.81,0.3,1.14
福特公司,2.86,0.4,1.14
不爽,1.9,0.6,1.14
宣布,1.9,0.59,1.13
提到,14.28,0.08,1.13
太小,1.9,0.6,1.13
声,1.9,0.59,1.13
去年,22.85,0.05,1.13
放在,10.47,0.11,1.13
掉头,2.86,0.4,1.13
店,18.09,0.06,1.13
装置,2.86,0.39,1.12
主打,10.47,0.11,1.12
悬挂,31.42,0.04,1.12
现象,1.9,0.59,1.12
入门级,2.86,0.39,1.12
普通,22.85,0.05,1.12
集团,21.9,0.05,1.12
辉煌,2.86,0.39,1.12
贵,11.43,0.1,1.12
触摸屏,3.81,0.3,1.12
查看,2.86,0.39,1.12
真正,15.24,0.07,1.11
一体,16.19,0.07,1.11
相对,16.19,0.07,1.11
习惯,11.43,0.1,1.11
隔音,18.09,0.06,1.11
周围,2.86,0.39,1.1
之中,2.86,0.39,1.1
远,16.19,0.07,1.1
耀眼,2.86,0.39,1.1
相继,2.86,0.39,1.1
西班牙,2.86,0.39,1.1
试车,2.86,0.39,1.1
深入,2.86,0.39,1.1
社会,2.86,0.39,1.1
日本,7.62,0.14,1.1
全世界,2.86,0.39,1.1
前者,2.86,0.39,1.1
其余,2.86,0.39,1.1
普及,2.86,0.39,1.1
难受,1.9,0.58,1.1
名车,2.86,0.39,1.1
联盟,2.86,0.39,1.1
老家,2.86,0.39,1.1
究竟,2.86,0.39,1.1
界,2.86,0.39,1.1
结婚,2.86,0.39,1.1
阶段,2.86,0.39,1.1
件,2.86,0.39,1.1
减重,2.86,0.39,1.1
假期,2.86,0.39,1.1
佳,2.86,0.39,1.1
官方,16.19,0.07,1.1
关爱,2.86,0.39,1.1
公交,2.86,0.39,1.1
跟随,2.86,0.39,1.1
高转速,2.86,0.39,1.1
传动,2.86,0.39,1.1
冲动,2.86,0.39,1.1
差价,2.86,0.39,1.1
操纵,2.86,0.39,1.1
图片,9.52,0.11,1.09
漆面,4.76,0.23,1.09
开幕,1.9,0.57,1.09
驾驶座,4.76,0.23,1.09
当中,10.47,0.1,1.09
促销,1.9,0.57,1.09
准,2.86,0.38,1.08
战略,11.43,0.09,1.08
秀,2.86,0.38,1.08
享,10.47,0.1,1.08
手动档,2.86,0.38,1.08
钱,9.52,0.11,1.08
店里,6.67,0.16,1.08
组成,2.86,0.37,1.07
专利,2.86,0.38,1.07
允许,2.86,0.38,1.07
小区,2.86,0.37,1.07
无意,2.86,0.38,1.07
投放,2.86,0.38,1.07
投产,1.9,0.56,1.07
刷,2.86,0.37,1.07
输出功率,1.9,0.56,1.07
收入,2.86,0.38,1.07
胜,2.86,0.38,1.07
上面,16.19,0.07,1.07
赛事,2.86,0.38,1.07
容量,2.86,0.38,1.07
评,3.81,0.28,1.07
难看,1.9,0.56,1.07
明星,9.52,0.11,1.07
明白,2.86,0.37,1.07
老师,2.86,0.38,1.07
可达,2.86,0.37,1.07
考验,2.86,0.38,1.07
检验,2.86,0.38,1.07
继承,9.52,0.11,1.07
基地,2.86,0.37,1.07
根本,5.71,0.19,1.07
放下,2.86,0.37,1.07
发起,2.86,0.38,1.07
发力,2.86,0.38,1.07
出发,2.86,0.37,1.07
成长,2.86,0.38,1.07
保持一致,2.86,0.37,1.07
宝马新,2.86,0.38,1.07
百度,2.86,0.37,1.07
最小,2.86,0.37,1.06
中期,2.86,0.37,1.06
运营,2.86,0.37,1.06
右边,2.86,0.37,1.06
有时候,3.81,0.28,1.06
由,2.86,0.37,1.06
影子,2.86,0.37,1.06
隐藏,2.86,0.37,1.06
寻找,2.86,0.37,1.06
下降,2.86,0.37,1.06
袭,2.86,0.37,1.06
位,2.86,0.37,1.06
弯,12.38,0.09,1.06
同款,2.86,0.37,1.06
提速,14.28,0.07,1.06
苏州,2.86,0.37,1.06
事故,3.81,0.28,1.06
实验,2.86,0.37,1.06
旗舰型,2.86,0.37,1.06
目的,2.86,0.37,1.06
美版,2.86,0.37,1.06
烂,3.81,0.28,1.06
简称,2.86,0.37,1.06
继,2.86,0.37,1.06
纪念,2.86,0.37,1.06
互动,2.86,0.37,1.06
厚道,12.38,0.09,1.06
后轮,2.86,0.37,1.06
海外,7.62,0.14,1.06
过滤器,2.86,0.37,1.06
刮,2.86,0.37,1.06
高级轿车,2.86,0.37,1.06
从此,2.86,0.37,1.06
变得,12.38,0.09,1.06
整容,2.86,0.37,1.05
长沙,2.86,0.37,1.05
优质,2.86,0.37,1.05
赢,2.86,0.37,1.05
依靠,2.86,0.37,1.05
相比之下,2.86,0.37,1.05
塑造,2.86,0.37,1.05
手里,2.86,0.37,1.05
时刻,2.86,0.37,1.05
荣膺,2.86,0.37,1.05
恰到好处,2.86,0.37,1.05
摩擦,2.86,0.37,1.05
每日,2.86,0.37,1.05
每,21.9,0.05,1.05
检查,3.81,0.28,1.05
后部,2.86,0.37,1.05
诟病,2.86,0.37,1.05
感到,2.86,0.37,1.05
夺,2.86,0.37,1.05
传感器,5.71,0.18,1.05
不难看出,2.86,0.37,1.05
再次,19.04,0.05,1.04
计划,10.47,0.1,1.04
不想,6.67,0.16,1.04
作用,9.52,0.11,1.03
选车,20.95,0.05,1.03
雾灯,11.43,0.09,1.03
设置,9.52,0.11,1.03
地区,5.71,0.18,1.03
本次,9.52,0.11,1.03
预计,4.76,0.21,1.02
身材,6.67,0.15,1.02
破,7.62,0.13,1.02
排气管,7.62,0.13,1.02
来到,10.47,0.1,1.02
毫无,11.43,0.09,1.02
车长,7.62,0.13,1.02
车市,10.47,0.1,1.02
踩油门,7.62,0.13,1.02
拨,7.62,0.13,1.02
保值,11.43,0.09,1.02
?,18.09,0.06,1.02
依旧,22.85,0.04,1.01
虚位,4.76,0.21,1.01
为主,9.52,0.11,1.01
普遍,4.76,0.21,1.01
皮质,5.71,0.18,1.01
靠背,5.71,0.18,1.01
竞争力,16.19,0.06,1.01
较低,5.71,0.18,1.01
减震,3.81,0.27,1.01
及时,5.71,0.18,1.01
盒,4.76,0.21,1.01
刚性,4.76,0.21,1.01
点缀,5.71,0.18,1.01
次,1.9,0.53,1.01
爆发,5.71,0.18,1.01
压力,12.38,0.08,1
认为,20.95,0.05,1
切换,7.62,0.13,1
拍,13.33,0.08,1
较高,7.62,0.13,1
行李厢,7.62,0.13,1
行李架,8.57,0.12,1
德系,8.57,0.12,1
打开,12.38,0.08,1
转,6.67,0.15,0.99
售后,4.76,0.21,0.99
顶配,3.81,0.26,0.99
总,14.28,0.07,0.98
真是,22.85,0.04,0.98
早就,5.71,0.17,0.98
地盘,3.81,0.26,0.98
曾,8.57,0.11,0.98
长,30.47,0.03,0.97
无人驾驶,1.9,0.51,0.97
数字,1.9,0.51,0.97
其次,6.67,0.14,0.97
障碍物,2.86,0.34,0.96
展位,1.9,0.5,0.96
有时,1.9,0.5,0.96
性格,6.67,0.14,0.96
氙气,19.04,0.05,0.96
他们,20.95,0.05,0.96
送,3.81,0.25,0.96
收购,1.9,0.5,0.96
屏幕,6.67,0.14,0.96
配色,6.67,0.14,0.96
公司,25.71,0.04,0.96
差异,9.52,0.1,0.96
做作,0.95,1,0.95
做首,0.95,1,0.95
座机,0.95,1,0.95
坐起,0.95,1,0.95
作祟,0.95,1,0.95
左邻,0.95,1,0.95
昨天上午,0.95,1,0.95
最窄,0.95,1,0.95
最远,0.95,1,0.95
最优设计,0.95,1,0.95
最舒服,0.95,1,0.95
最受,0.95,1,0.95
最亮,0.95,1,0.95
最脸熟,0.95,1,0.95
最具,0.95,1,0.95
最火,0.95,1,0.95
最高点,0.95,1,0.95
嘴式,0.95,1,0.95
嘴皮子,0.95,1,0.95
钻研,0.95,1,0.95
钻式,0.95,1,0.95
钻过去,0.95,1,0.95
组及,0.95,1,0.95
组合式,0.95,1,0.95
组份,0.95,1,0.95
走私,0.95,1,0.95
纵享,0.95,1,0.95
总助,0.95,1,0.95
总院,0.95,1,0.95
总工程师,0.95,1,0.95
总而言之,0.95,1,0.95
总的来看,0.95,1,0.95
总得,0.95,1,0.95
踪迹,0.95,1,0.95
字形,0.95,1,0.95
自在,0.95,1,0.95
自我感觉,0.95,1,0.95
自食其力,0.95,1,0.95
自然界,0.95,1,0.95
自然而然,0.95,1,0.95
自谦,0.95,1,0.95
自领,0.95,1,0.95
自份,0.95,1,0.95
自动控制,0.95,1,0.95
自的,0.95,1,0.95
兹曼,0.95,1,0.95
孜孜不倦,0.95,1,0.95
卓著,0.95,1,0.95
卓然,0.95,1,0.95
卓绝,0.95,1,0.95
灼伤,0.95,1,0.95
捉到,0.95,1,0.95
准确无误,0.95,1,0.95
准打,0.95,1,0.95
追慕,0.95,1,0.95
撞色,0.95,1,0.95
装有,0.95,1,0.95
装配车间,0.95,1,0.95
装满,0.95,1,0.95
装个,0.95,1,0.95
装得,0.95,1,0.95
赚到,0.95,1,0.95
转注,0.95,1,0.95
转一转,0.95,1,0.95
转可,0.95,1,0.95
转粉,0.95,1,0.95
专智,0.95,1,0.95
专业技能,0.95,1,0.95
专心,0.95,1,0.95
专情,0.95,1,0.95
抓握,0.95,1,0.95
抓力,0.95,1,0.95
注销,0.95,1,0.95
注脚,0.95,1,0.95
主页,0.95,1,0.95
主色调,0.95,1,0.95
主公,0.95,1,0.95
猪,0.95,1,0.95
周围环境,0.95,1,0.95
周身,0.95,1,0.95
周科,0.95,1,0.95
重物,0.95,1,0.95
重量轻,0.95,1,0.95
重力,0.95,1,0.95
重回,0.95,1,0.95
重夺,0.95,1,0.95
钟意,0.95,1,0.95
钟情,0.95,1,0.95
终结,0.95,1,0.95
终极目标,0.95,1,0.95
终得,0.95,1,0.95
中轴线,0.95,1,0.95
中长期,0.95,1,0.95
中要,0.95,1,0.95
中小型,0.95,1,0.95
中小,0.95,1,0.95
中线,0.95,1,0.95
中调,0.95,1,0.95
中速,0.95,1,0.95
中试,0.95,1,0.95
中汽协,0.95,1,0.95
中买,0.95,1,0.95
中联,0.95,1,0.95
中举,0.95,1,0.95
中后,0.95,1,0.95
中等水平,0.95,1,0.95
中德,0.95,1,0.95
中标,0.95,1,0.95
置身,0.95,1,0.95
窒息,0.95,1,0.95
致雅,0.95,1,0.95
致密,0.95,1,0.95
挚诚,0.95,1,0.95
质造,0.95,1,0.95
质朴,0.95,1,0.95
质地,0.95,1,0.95
制造厂商,0.95,1,0.95
制车,0.95,1,0.95
至分,0.95,1,0.95
指引,0.95,1,0.95
指禅,0.95,1,0.95
纸上谈兵,0.95,1,0.95
纸巾,0.95,1,0.95
值当道,0.95,1,0.95
直言不讳,0.95,1,0.95
直升机,0.95,1,0.95
直射,0.95,1,0.95
直瀑,0.95,1,0.95
直喷式,0.95,1,0.95
直达,0.95,1,0.95
直边,0.95,1,0.95
知晓,0.95,1,0.95
只身一人,0.95,1,0.95
之友,0.95,1,0.95
政策法规,0.95,1,0.95
郑恺,0.95,1,0.95
证券,0.95,1,0.95
正中间,0.95,1,0.95
正中,0.95,1,0.95
正义,0.95,1,0.95
正恒,0.95,1,0.95
正合适,0.95,1,0.95
正合,0.95,1,0.95
正服,0.95,1,0.95
正的,0.95,1,0.95
整线,0.95,1,0.95
蒸,0.95,1,0.95
铮铮铁骨,0.95,1,0.95
争抢,0.95,1,0.95
震板,0.95,1,0.95
振奋人心,0.95,1,0.95
阵痛期,0.95,1,0.95
阵地,0.95,1,0.95
枕头,0.95,1,0.95
真无语,0.95,1,0.95
真算,0.95,1,0.95
真巧,0.95,1,0.95
真难,0.95,1,0.95
真得,0.95,1,0.95
着有,0.95,1,0.95
着以,0.95,1,0.95
着要,0.95,1,0.95
着前,0.95,1,0.95
着高,0.95,1,0.95
着大,0.95,1,0.95
这下子,0.95,1,0.95
这双,0.95,1,0.95
这事,0.95,1,0.95
这年头,0.95,1,0.95
这两点,0.95,1,0.95
折射,0.95,1,0.95
折叠桌,0.95,1,0.95
遮光,0.95,1,0.95
照提,0.95,1,0.95
沼泽,0.95,1,0.95
昭示,0.95,1,0.95
招人,0.95,1,0.95
