word	pos_tf	neg_tf	idf	bdc	pos_tf_idf	neg_tf_idf	pos_tf_bdc	neg_tf_bdc
名胜	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
内侧	6.67	16.63	3.20	0.29	21.35	53.25	1.94	4.85
Button	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
危险	0.95	0.00	3.72	0.37	3.54	0.00	0.35	0.00
断后	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
不学一学么	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
岸边	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
bugs	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
亲密	2.86	0.00	3.62	0.56	10.34	0.00	1.61	0.00
nauto	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
举办国	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
传家宝	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
疆土	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
朗	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
五粮液	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
远处	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
高级别	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
通话	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
幸好	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
店大欺客	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
心怀	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
s600	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
心量	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
娇气	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
跷	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
人员	14.28	12.47	2.87	0.13	40.99	35.79	1.85	1.62
羡慕	6.67	0.00	3.24	0.55	21.58	0.00	3.67	0.00
值	7.62	0.00	2.97	0.40	22.66	0.00	3.04	0.00
展出	0.95	0.00	3.28	0.51	3.12	0.00	0.49	0.00
大力	0.95	0.00	3.72	0.37	3.54	0.00	0.35	0.00
急性子	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
邵景峰	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
人际关系	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
；	125.69	103.91	1.79	0.02	225.40	186.35	2.86	2.37
原价	0.00	0.00	3.72	1.00	0.00	0.00	0.00	0.00
确实	73.32	103.91	2.16	0.13	158.06	224.00	9.77	13.85
水分	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
服务站	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
规则	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
选秀	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
想干什么	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
唱起来	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
s50	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
Pre	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
阻挡	3.81	4.16	3.47	0.11	13.22	14.43	0.42	0.46
东洲	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
风刀	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
蝴蝶	0.95	0.00	3.72	0.37	3.54	0.00	0.35	0.00
bfgoodrich	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
品读	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
雷同	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
门槛	1.90	0.00	3.24	0.40	6.17	0.00	0.76	0.00
泰晤士报	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
舒行	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
回复	0.00	0.00	3.54	1.00	0.00	0.00	0.00	0.00
膝部	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
必达	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
有些	13.33	49.88	2.55	0.11	33.94	127.00	1.53	5.73
模块化	9.52	0.00	3.02	0.47	28.72	0.00	4.45	0.00
忙	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
壁虎	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
不拘一格	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
无法比拟	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
必然	1.90	0.00	3.47	0.37	6.61	0.00	0.71	0.00
省力	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
廊坊	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
初识	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
模块	0.95	8.31	3.28	0.20	3.12	27.23	0.19	1.67
简单明了	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
十强	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
从事	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
千万别	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
圆满结束	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
气缸	1.90	0.00	4.02	0.62	7.65	0.00	1.19	0.00
鼻	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
借助	2.86	0.00	3.41	0.40	9.75	0.00	1.16	0.00
动力系统	9.52	0.00	2.62	0.38	24.93	0.00	3.63	0.00
分不清楚	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
消防	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
麦加	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
Laurin	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
双人	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
身量	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
np300navara	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
矫情	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
受邀	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
启天	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
抢钱	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
成为	93.32	16.63	1.97	0.23	184.27	32.83	21.85	3.89
以为	3.81	20.78	2.89	0.15	10.99	59.97	0.57	3.11
西藏高原	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
排气阀	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
别以为	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
q2	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
面面俱到	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
划拉	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
转粉	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
令	17.14	12.47	2.87	0.21	49.19	35.79	3.57	2.60
坡力	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
劳作	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
任车	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
parktronic	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
xts	0.95	4.16	3.84	0.29	3.66	15.96	0.28	1.20
赶上	0.95	4.16	3.72	0.20	3.54	15.44	0.19	0.81
陈先生	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
楼	0.95	4.16	3.32	0.09	3.16	13.79	0.09	0.37
绕行	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
瀚	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
悠久	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
梦露	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
咣	0.00	8.31	4.32	1.00	0.00	35.89	0.00	8.31
油壶	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
毁	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
横幅	3.81	0.00	3.47	0.54	13.22	0.00	2.06	0.00
调教	7.62	0.00	3.02	0.42	22.98	0.00	3.18	0.00
甘肃省	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
请速	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
香菇	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
点不着	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
液态	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
等等等等	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
借此机会	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
销百	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
无异	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
或许	5.71	12.47	2.85	0.02	16.31	35.60	0.09	0.19
有的	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
瑞	0.00	4.16	3.62	0.44	0.00	15.04	0.00	1.84
杯架	5.71	0.00	3.41	0.70	19.50	0.00	4.00	0.00
国产	42.85	33.25	2.05	0.03	88.04	68.32	1.36	1.06
出售	0.00	4.16	3.28	0.37	0.00	13.62	0.00	1.54
ram1500	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
赚地	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
gal	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
SYNC	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
充分证明	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
短小	2.86	0.00	3.84	1.00	10.97	0.00	2.86	0.00
过滤	17.14	0.00	2.94	0.62	50.34	0.00	10.68	0.00
出身	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
摩拳擦掌	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
会馆	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
可信	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
资质	0.00	0.00	3.72	1.00	0.00	0.00	0.00	0.00
较硬	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
中央	21.90	8.31	2.73	0.21	59.70	22.66	4.53	1.72
蜕变	1.90	0.00	3.84	0.62	7.31	0.00	1.19	0.00
编编	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
叹	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
世通	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
牛仔布	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
挽回	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
不烧	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
常胜将军	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
走路	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
出色完成	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
防抱死	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
尖锐	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
限于	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
竞争者	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
螺旋桨	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
仪表	8.57	24.94	2.75	0.06	23.56	68.55	0.48	1.39
ats	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
最高点	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
经常出现	0.00	4.16	4.02	0.71	0.00	16.69	0.00	2.94
操刀	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
威尔	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
远离	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
右前方	0.00	4.16	4.02	0.71	0.00	16.69	0.00	2.94
细心	6.67	0.00	3.41	0.83	22.76	0.00	5.53	0.00
飞歌	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
pininfarina	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
争夺	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
有句名言	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
蓝	9.52	8.31	2.79	0.02	26.52	23.16	0.16	0.14
旷量	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
炒作	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
立体	20.95	0.00	2.89	0.74	60.45	0.00	15.42	0.00
灯腔	3.81	0.00	3.54	0.62	13.48	0.00	2.37	0.00
喜忧参半	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
提车	21.90	74.82	2.24	0.07	49.09	167.70	1.44	4.92
电池	5.71	0.00	3.02	0.37	17.23	0.00	2.12	0.00
胶话	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
小三角	0.00	4.16	4.02	0.71	0.00	16.69	0.00	2.94
现款	33.33	4.16	2.34	0.24	77.96	9.72	8.08	1.01
补助	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
试问	0.95	4.16	3.72	0.20	3.54	15.44	0.19	0.81
你老	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
生肖	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
至份	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
接着就是	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
寿	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
变新	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
攻防兼备	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
勿	0.95	4.16	3.62	0.14	3.45	15.04	0.14	0.59
冲击力	3.81	0.00	3.72	1.00	14.15	0.00	3.81	0.00
之间	16.19	12.47	2.47	0.03	40.01	30.82	0.52	0.40
榜首	6.67	0.00	3.32	0.65	22.11	0.00	4.36	0.00
老头	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
停歇	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
生机盎然	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
倒好	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
共性	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
磨太	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
若	3.81	0.00	3.17	0.37	12.08	0.00	1.42	0.00
腰酸背痛	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
拉手	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
丹尼尔	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
击剑	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
无人驾驶	1.90	0.00	3.06	0.51	5.83	0.00	0.97	0.00
丢失	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
屡次	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
发布会	5.71	0.00	3.02	0.38	17.23	0.00	2.14	0.00
踊跃报名	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
各式各样	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
撞掉	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
矩	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
载货	1.90	0.00	4.32	1.00	8.22	0.00	1.90	0.00
威猛	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
伴	0.95	0.00	3.47	0.42	3.31	0.00	0.40	0.00
改善生活	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
刚过	0.00	8.31	4.02	1.00	0.00	33.39	0.00	8.31
R18	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
EA	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
原本	1.90	12.47	3.17	0.20	6.04	39.54	0.37	2.44
大同	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
历年来	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
转不动	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
不升	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
平庸	1.90	8.31	3.41	0.20	6.50	28.38	0.37	1.63
诉求	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
抨击	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
洛尼	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
评说	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
SAN	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
比较突出	4.76	0.00	3.54	0.78	16.85	0.00	3.74	0.00
降低生产	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
榜上有名	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
畅	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
关注度	3.81	4.16	3.32	0.05	12.63	13.79	0.19	0.21
时常	0.95	12.47	3.62	0.59	3.45	45.12	0.56	7.38
平板	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
和五辐	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
美观	6.67	12.47	3.28	0.30	21.83	40.85	2.01	3.75
例举	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
之家	2.86	8.31	2.96	0.05	8.44	24.57	0.14	0.41
尿性	0.00	8.31	3.84	0.82	0.00	31.92	0.00	6.78
康发	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
肩负	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
两极化	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
家小	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
未曾	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
真相	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
柴油	2.86	4.16	3.24	0.00	9.25	13.46	0.01	0.02
正对面	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
上市	120.93	29.10	1.71	0.16	206.87	49.77	19.31	4.65
当之无愧	6.67	0.00	3.41	0.83	22.76	0.00	5.53	0.00
东部	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
访问	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
特邀嘉宾	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
着来	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
牛皮糖	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
沁源	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
共振	0.00	37.41	3.28	0.90	0.00	122.54	0.00	33.60
亲近	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
sony	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
观望	1.90	12.47	3.47	0.35	6.61	43.29	0.67	4.40
偶遇	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
雷德	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
和家	1.90	0.00	4.02	1.00	7.65	0.00	1.90	0.00
本能	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
过剩	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
官	0.00	0.00	3.36	1.00	0.00	0.00	0.00	0.00
飞到	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
球星	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
旗手	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
四缸机	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
最高者	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
光临	0.00	0.00	3.47	1.00	0.00	0.00	0.00	0.00
新丁	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
木床	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
在所难免	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
拉的货多	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
锋程	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
潮酷	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
举重	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
难受	1.90	12.47	3.62	0.58	6.89	45.12	1.10	7.19
赠送	0.00	0.00	3.09	1.00	0.00	0.00	0.00	0.00
告终	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
Active	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
略低于	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
探知	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
驾员	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
三剑客	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
这位	1.90	8.31	3.11	0.08	5.93	25.88	0.16	0.70
风潮	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
冠名	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
致癌物质	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
可至	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
相比之下	2.86	16.63	3.32	0.37	9.48	55.15	1.05	6.14
perience	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
放过	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
s7sportback	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
g3	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
那时	1.90	8.31	3.14	0.09	5.98	26.11	0.17	0.73
防	4.76	0.00	3.36	0.48	16.01	0.00	2.31	0.00
床	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
放不下	0.95	4.16	4.02	0.50	3.82	16.69	0.47	2.06
MKE	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
Go	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
来得	1.90	0.00	3.54	0.39	6.74	0.00	0.73	0.00
早教	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
升程	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
时至今日	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
行李厢	7.62	4.16	3.20	0.13	24.40	13.31	1.00	0.55
配报	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
小熊	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
通信	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
鼓励	0.95	0.00	3.72	0.37	3.54	0.00	0.35	0.00
走过	3.81	4.16	3.36	0.08	12.81	13.98	0.29	0.31
先于	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
技术	111.41	62.35	1.90	0.08	211.35	118.28	8.93	5.00
多媒体	11.43	0.00	3.17	0.81	36.23	0.00	9.25	0.00
内场	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
略轻	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
ecu	1.90	0.00	3.47	0.37	6.61	0.00	0.71	0.00
一瞬	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
水泡	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
纲领	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
相遇	0.95	0.00	3.62	0.38	3.45	0.00	0.36	0.00
起	20.00	29.10	2.29	0.01	45.83	66.68	0.11	0.16
起码	5.71	0.00	3.36	0.62	19.21	0.00	3.56	0.00
净水器	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
直射	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
总退	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
加厚	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
险	0.00	4.16	4.02	0.71	0.00	16.69	0.00	2.94
暴表	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
溜	7.62	4.16	3.32	0.29	25.27	13.79	2.21	1.21
够快	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
晚	0.95	0.00	3.36	0.49	3.20	0.00	0.47	0.00
一浪高过一浪	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
笔身	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
江皓	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
不容许	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
环法	1.90	0.00	3.72	0.48	7.07	0.00	0.92	0.00
静若处子	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
血泪	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
明确	5.71	8.31	3.20	0.11	18.30	26.63	0.62	0.90
聚光	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
金融	0.00	0.00	3.17	1.00	0.00	0.00	0.00	0.00
穿着	0.00	0.00	3.62	1.00	0.00	0.00	0.00	0.00
最佳	16.19	4.16	2.90	0.32	46.98	12.06	5.21	1.34
音箱	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
上开	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
一应俱全	4.76	0.00	3.62	1.00	17.23	0.00	4.76	0.00
dart	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
耀石	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
看一看	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
各种	33.33	29.10	2.42	0.05	80.63	70.39	1.67	1.45
所致	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
采用	201.87	8.31	1.67	0.37	337.45	13.90	74.25	3.06
北京站	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
祝	0.00	0.00	3.54	1.00	0.00	0.00	0.00	0.00
autonews	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
钢琴	2.86	0.00	3.72	0.70	10.61	0.00	2.00	0.00
延长	0.95	0.00	3.84	0.39	3.66	0.00	0.37	0.00
线条美	1.90	0.00	4.32	1.00	8.22	0.00	1.90	0.00
同样	57.13	37.41	2.16	0.07	123.33	80.75	3.73	2.44
媒体大众	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
总是	1.90	4.16	3.17	0.03	6.04	13.18	0.05	0.12
防滑	0.95	0.00	4.02	0.48	3.82	0.00	0.46	0.00
閤	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
下扰	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
佩尔	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
小保	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
四区	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
小箱子	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
溜走	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
考科	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
烧成	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
暂且不说	0.00	4.16	4.32	1.00	0.00	17.94	0.00	4.16
步	0.00	0.00	4.32	1.00	0.00	0.00	0.00	0.00
泵	0.00	12.47	3.62	0.77	0.00	45.12	0.00	9.66
智尚	0.00	0.00	3.84	1.00	0.00	0.00	0.00	0.00
面	3.81	0.00	3.41	0.45	13.00	0.00	1.70	0.00
种类	0.00	0.00	4.02	1.00	0.00	0.00	0.00	0.00
高速运行	0.95	0.00	4.32	1.00	4.11	0.00	0.95	0.00
太重	0.95	8.31	3.84	0.63	3.66	31.92	0.60	5.27
主人	0.00	4.16	3.72	0.49	0.00	15.44	0.00	2.05
